Date,NY Conventional Gasoline Spot Price ($/gal),NY Ultra-Low Sulfur Diesel Spot Price ($/gal),WTI Crude Oil Spot Price ($/barrel),Brent Crude Oil Spot Price ($/barrel),NY Jet Fuel Price ($/gal)
01/04/2008,2.500,2.720,98.17,96.50,2.77
12/28/2007,2.440,2.670,95.64,94.39,
12/21/2007,2.310,2.630,91.16,90.82,
12/14/2007,2.310,2.620,91.18,90.24,
12/07/2007,2.250,2.600,88.71,89.09,2.74
11/30/2007,2.340,2.710,92.47,92.16,
11/23/2007,2.480,2.770,97.93,94.01,
11/16/2007,2.410,2.650,93.56,90.74,
11/09/2007,2.470,2.710,95.81,93.54,
11/02/2007,2.370,2.610,93.46,90.42,2.72
10/26/2007,2.200,2.490,89.23,83.72,
10/19/2007,2.220,2.450,87.80,84.29,
10/12/2007,2.100,2.330,81.46,78.85,
10/05/2007,2.070,2.310,80.59,77.98,2.42
09/28/2007,2.110,2.330,81.70,78.15,
09/21/2007,2.150,2.370,82.26,78.17,
09/14/2007,2.080,2.320,78.95,76.89,
09/07/2007,2.070,2.250,75.96,75.06,2.31
08/31/2007,2.080,2.160,72.93,70.55,
08/24/2007,1.960,2.090,70.19,68.44,
08/17/2007,2.050,2.100,72.05,70.09,
08/10/2007,1.920,2.060,71.92,70.70,
08/03/2007,2.030,2.150,76.75,76.34,2.2
07/27/2007,2.020,2.110,75.15,76.66,
07/20/2007,2.090,2.130,74.92,78.24,
07/13/2007,2.260,2.170,72.79,77.76,
07/06/2007,2.240,2.180,71.78,74.79,2.27
06/29/2007,2.220,2.150,69.13,71.76,
06/22/2007,2.220,2.170,68.78,71.78,
06/15/2007,2.140,2.090,66.62,69.89,
06/08/2007,2.150,2.080,65.90,71.23,
06/01/2007,2.180,2.060,63.94,68.45,2.19
05/25/2007,2.290,2.100,64.89,70.65,
05/18/2007,2.320,2.060,63.61,67.55,
05/11/2007,2.220,2.000,61.90,63.91,
05/04/2007,2.210,2.020,63.82,66.04,2.17
04/27/2007,2.180,2.070,65.26,67.39,
04/20/2007,2.030,2.010,63.06,66.21,
04/13/2007,2.120,2.090,62.58,68.20,
04/06/2007,2.040,2.050,64.82,68.55,2.08
03/30/2007,2.020,2.010,64.18,66.10,
03/23/2007,1.930,1.850,58.26,61.09,
03/16/2007,1.910,1.840,57.94,60.87,
03/09/2007,1.900,1.870,60.85,60.35,
03/02/2007,1.870,1.860,61.64,60.62,1.9
02/23/2007,1.730,1.760,59.57,58.16,
02/16/2007,1.610,1.710,58.41,55.54,
02/09/2007,1.550,1.760,58.99,57.90,
02/02/2007,1.480,1.710,57.11,55.92,1.78
01/26/2007,1.410,1.630,53.57,54.87,
01/19/2007,1.340,1.560,51.51,51.40,
01/12/2007,1.420,1.610,54.11,51.79,
01/05/2007,1.550,1.680,57.76,55.63,1.82
12/29/2006,1.620,1.720,60.66,59.69,
12/22/2006,1.750,1.800,62.40,62.44,
12/15/2006,1.660,1.850,61.91,62.56,
12/08/2006,1.640,1.920,62.32,63.63,
12/01/2006,1.700,1.920,62.02,62.59,1.95
11/24/2006,1.620,1.830,57.24,59.20,
11/17/2006,1.570,1.800,57.56,57.85,
11/10/2006,1.570,1.790,59.96,58.02,
11/03/2006,1.480,1.720,58.55,56.48,1.86
10/27/2006,1.550,1.800,58.88,57.73,
10/20/2006,1.490,1.840,58.48,58.51,
10/13/2006,1.490,1.790,58.58,58.33,
10/06/2006,1.520,1.760,59.77,57.15,
09/29/2006,1.520,1.770,61.94,58.76,
09/22/2006,1.530,1.720,61.40,60.23,
09/15/2006,1.610,1.770,63.98,61.38,
09/08/2006,1.650,1.960,67.53,65.76,
09/01/2006,1.800,2.110,70.01,68.35,1.98
08/25/2006,1.890,2.260,72.12,71.92,
08/18/2006,1.990,2.190,71.79,72.35,
08/11/2006,2.160,2.300,75.63,76.98,
08/04/2006,2.360,2.370,75.20,76.32,2.27
07/28/2006,2.280,2.260,73.87,73.53,
07/21/2006,2.230,2.190,73.98,73.52,
07/14/2006,2.210,2.200,75.21,73.99,
07/07/2006,2.220,2.170,74.65,73.45,2.22
06/30/2006,2.150,2.100,72.65,71.82,
06/23/2006,2.000,2.070,69.94,68.33,
06/16/2006,1.980,2.100,69.48,66.17,
